colour,count,common uses
"rgb(15,81,50.4)",5,"color | .alert-success (1); color | .list-group-item-success (1); color | .list-group-item-success.list-group-item-action:hover,.list-group-item-success.list-group-item-action:focus (1); background-color | .list-group-item-success.list-group-item-action.active (1); border-color | .list-group-item-success.list-group-item-action.active (1)"
"rgb(5.2,80.8,96)",5,"color | .alert-info (1); color | .list-group-item-info (1); color | .list-group-item-info.list-group-item-action:hover,.list-group-item-info.list-group-item-action:focus (1); background-color | .list-group-item-info.list-group-item-action.active (1); border-color | .list-group-item-info.list-group-item-action.active (1)"
"rgb(102,77.2,2.8)",5,"color | .alert-warning (1); color | .list-group-item-warning (1); color | .list-group-item-warning.list-group-item-action:hover,.list-group-item-warning.list-group-item-action:focus (1); background-color | .list-group-item-warning.list-group-item-action.active (1); border-color | .list-group-item-warning.list-group-item-action.active (1)"
"rgb(132,31.8,41.4)",5,"color | .alert-danger (1); color | .list-group-item-danger (1); color | .list-group-item-danger.list-group-item-action:hover,.list-group-item-danger.list-group-item-action:focus (1); background-color | .list-group-item-danger.list-group-item-action.active (1); border-color | .list-group-item-danger.list-group-item-action.active (1)"
"rgb(99.2,99.6,100)",5,"color | .alert-light (1); color | .list-group-item-light (1); color | .list-group-item-light.list-group-item-action:hover,.list-group-item-light.list-group-item-action:focus (1); background-color | .list-group-item-light.list-group-item-action.active (1); border-color | .list-group-item-light.list-group-item-action.active (1)"
"rgb(19.8,22.2,24.6)",5,"color | .alert-dark (1); color | .list-group-item-dark (1); color | .list-group-item-dark.list-group-item-action:hover,.list-group-item-dark.list-group-item-action:focus (1); background-color | .list-group-item-dark.list-group-item-action.active (1); border-color | .list-group-item-dark.list-group-item-action.active (1)"
"#33a475",5,"background | .timeline-marker:before (1); background-color | .timeline-marker:after (1); color | .si-resale__account-card.active .si-resale__card-title (1); background-color | .timeline-horizontal-completed (1); color | .timeline-horizontal-step--completed (1)"
"rgb(107.7813953488,209.2186046512,167.0279069767)",5,"border | .si-resale__message--success (1); border-top | .si-resale__message--success (1); border | .si-resale__account-card.active (1); border | .notification-banner .success-message (1); border-top | .notification-banner .success-message (1)"
"#151943",4,"background-color | .bg-color--invert-primary (1); background-color | .si-page__top--restricted-nav (1); background-color | @media(max-width: 767px){.si-page__top--restricted-nav (1); background-color | .si-page__body--restricted-nav (1)"
"rgba(255,255,255,0.15)",4,"background-image | .progress-bar-striped (3); --bs-gradient | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1)"
"rgb(134,182.5,254)",4,"border-color | .form-control:focus (1); border-color | .form-select:focus (1); border-color | .form-check-input:focus (1); border-color | .accordion-button:focus (1)"
"rgb(86.4,93.6,100)",4,"border-color | .btn-secondary:hover (1); border-color | .btn-check:focus+.btn-secondary,.btn-secondary:focus (1); background-color | .btn-check:checked+.btn-secondary,.btn-check:active+.btn-secondary,.btn-secondary:active,.btn-secondary.active,.show>.btn-secondary.dropdown-toggle (1); color | .link-secondary:hover,.link-secondary:focus (1)"
"rgb(20,108,67.2)",4,"border-color | .btn-success:hover (1); border-color | .btn-check:focus+.btn-success,.btn-success:focus (1); background-color | .btn-check:checked+.btn-success,.btn-check:active+.btn-success,.btn-success:active,.btn-success.active,.show>.btn-success.dropdown-toggle (1); color | .link-success:hover,.link-success:focus (1)"
"rgb(176,42.4,55.2)",4,"border-color | .btn-danger:hover (1); border-color | .btn-check:focus+.btn-danger,.btn-danger:focus (1); background-color | .btn-check:checked+.btn-danger,.btn-check:active+.btn-danger,.btn-danger:active,.btn-danger.active,.show>.btn-danger.dropdown-toggle (1); color | .link-danger:hover,.link-danger:focus (1)"
"rgb(26.4,29.6,32.8)",4,"border-color | .btn-dark:hover (1); border-color | .btn-check:focus+.btn-dark,.btn-dark:focus (1); background-color | .btn-check:checked+.btn-dark,.btn-check:active+.btn-dark,.btn-dark:active,.btn-dark.active,.show>.btn-dark.dropdown-toggle (1); color | .link-dark:hover,.link-dark:focus (1)"
"#495057",4,"color | .nav-tabs .nav-link.active,.nav-tabs .nav-item.show .nav-link (1); color | .list-group-item-action (1); color | .list-group-item-action:hover,.list-group-item-action:focus (1); color | .si-input-group-text (1)"
"rgba(0,0,0,.9)",4,"color | .navbar-light .navbar-brand (1); color | .navbar-light .navbar-brand:hover,.navbar-light .navbar-brand:focus (1); color | .navbar-light .navbar-nav .show>.nav-link,.navbar-light .navbar-nav .nav-link.active (1); color | .navbar-light .navbar-text a,.navbar-light .navbar-text a:hover,.navbar-light .navbar-text a:focus (1)"
"#eeeeee",4,"background-color | .cookie-banner (1); border-left | blockquote (1); background-color | .pagination>li>a:hover,.pagination>li>a:focus,.pagination>li>a:active,.pagination>li>a:active:hover,.pagination>li>a:active:focus (1); border-bottom | .si-portfolio-table td (1)"
"#23527c",4,"color | .pagination>li>a:hover,.pagination>li>a:focus,.pagination>li>a:active,.pagination>li>a:active:hover,.pagination>li>a:active:focus (1); background-color | ination>li.active a:hover,.pagination>li.active a:focus,.pagination>li.active a:active,.pagination>li.active a:active:hover,.pagination>li.active a:active:focus (1); background-color | .pagination>li.active a (1); border | .pagination>li.active a (1)"
"#333333",4,"color | .ui-widget-content (1); color | .ui-widget-content a (1); color | .ui-widget-header (1); color | .ui-widget-header a (1)"
"#e3e3e3",4,"border-left | .breadcrumbs-link:after (1); background-color | .breadcrumbs-link-disabled (1); background-color | .readiness-antiMoney (1); background-color | .styled-checkbox~label:before (1)"
"#606060",4,"color | .breadcrumbs-link-disabled (1); color | isabled:hover,.breadcrumbs-link-disabled:focus,.breadcrumbs-link-disabled:active,.breadcrumbs-link-disabled:active:hover,.breadcrumbs-link-disabled:active:focus (1); border | .checkmark:after (1); color | .breadcrumbs .checkmark:before (1)"
"#c2c2c2",4,"border-bottom | .investor-hr (1); background | .si-list li::after (1); border-left | .si-list li::before (1); color | .si-list li::before (1)"
"#66bb6a",4,"background-color | .styled-checkbox:checked~label:before (1); border-color | .styled-checkbox:checked~label:before (1); background-color | .checkbox-round input:checked~.checkmark (1); border-color | .checkbox-round input:checked~.checkmark (1)"
"hsl(60,.9345794393%,45.9803921569%)",4,"color | .forum-topic-msg__header .forum-topic-title (1); color | .si-resale__available-investments-options .data-chunk (1); color | .data-chunk (1); color | .data-chunk.reversed :first-child (1)"
"#4a4a4a",4,"color | .si-badge (1); color | .alert-success (1); color | .faq-item (1); color | .faq-item:hover,.faq-item:focus,.faq-item:active,.faq-item:active:hover,.faq-item:active:focus (1)"
"hsl(60,1.3452914798%,13.7254901961%)",4,"color | .si-resale__pitch .PitchInvestment-content .si-invest__hint,.si-resale__pitch--confirm .PitchInvestment-content .si-invest__hint (1); color | .si-resale__card-footnote (1); color | .accordion__summary-item span (1); background | .vertical-stepper__step-number (1)"
"hsl(0,65.2582159624%,86.7647058824%)",4,"border | .si-resale .btn--delete (1); background-color | .si-resale .btn--delete:hover (1); background-color | .si-resale__table-row.show-delete-confirm (1); border | .si-resale__table-row.show-delete-confirm .si-resale__confirm-delete a (1)"
"#d5d5d5",4,"border-top | .si-card-summary--ruler (1); border | .wpwl-control (1); border-color | .wpwl-control (1); border-bottom | .preview-card-heading (1)"
"#e4f0fa",4,"background-color | .si-alert--info (1); background-color | .si-status-badge--info (1); background-color | .alert-info (1); background-color | .si-badge__exterior--bordered-pending (1)"
"#fce4e4",4,"background-color | .si-alert--error (1); background-color | .validation-summary-errors.alert.alert-block.alert-danger (1); background-color | .si-status-badge--error (1); background-color | .alert-danger (1)"
"rgba(54,54,53,.1)",4,"background-color | .si-btn--primary:active (1); background-color | .si-btn--secondary:active (1); background-color | .si-btn--tertiary:active (1); background-color | .si-input[type=file]::file-selector-button:active (1)"
"rgba(54,54,53,.12)",4,"border | .si-card,.si-card--primary (1); border | .si-card--secondary (1); border | .si-page__panel (1); border | .abundance-chip-link (1)"
"rgba(54,54,53,.05)",4,"box-shadow | .si-card,.si-card--primary (1); box-shadow | .si-card--secondary (1); box-shadow | .si-page__panel (1); box-shadow | .abundance-card--soft-bordered (1)"
"#d9f3db",4,"background-color | .si-badge__exterior--bordered-paid (1); background-color | .si-badge__exterior--ifisa-portfolio (1); background | .abundance-badge--isa-portfolio (1); background-color | .abundance-card--isa-portfolio (1)"
"rgba(54,54,53,.3)",4,"border | .si-auth-breadcrumbs__checkmark (1); border | .si-auth-breadcrumbs__connect-line (1); background-color | @media(min-width: 1080px){.navbar .nav .si-auth-account-menu.active .si-auth-modal-backdrop (1); background-color | .si-impact-feed__post-thumbnail:before (1)"
"hsla(0,0%,100%,.88)",3,"color | .text-color--invert-secondary (1); color | .si-link--invert (1); color | .si-link--invert:hover,.si-link--invert:focus,.si-link--invert:active,.si-link--invert:active:hover,.si-link--invert:active:focus (1)"
"rgb(206.6,226,254.6)",3,"--bs-table-bg | .table-primary (1); background-color | .alert-primary (1); background-color | .list-group-item-primary (1)"
"rgb(185.94,203.4,229.14)",3,"--bs-table-active-bg | .table-primary (1); border-color | .table-primary (1); background-color | .list-group-item-primary.list-group-item-action:hover,.list-group-item-primary.list-group-item-action:focus (1)"
"rgb(225.6,227.4,229)",3,"--bs-table-bg | .table-secondary (1); background-color | .alert-secondary (1); background-color | .list-group-item-secondary (1)"
"rgb(203.04,204.66,206.1)",3,"--bs-table-active-bg | .table-secondary (1); border-color | .table-secondary (1); background-color | .list-group-item-secondary.list-group-item-action:hover,.list-group-item-secondary.list-group-item-action:focus (1)"
"rgb(209,231,220.8)",3,"--bs-table-bg | .table-success (1); background-color | .alert-success (1); background-color | .list-group-item-success (1)"
"rgb(188.1,207.9,198.72)",3,"--bs-table-active-bg | .table-success (1); border-color | .table-success (1); background-color | .list-group-item-success.list-group-item-action:hover,.list-group-item-success.list-group-item-action:focus (1)"
"rgb(206.6,244.4,252)",3,"--bs-table-bg | .table-info (1); background-color | .alert-info (1); background-color | .list-group-item-info (1)"
"rgb(185.94,219.96,226.8)",3,"--bs-table-active-bg | .table-info (1); border-color | .table-info (1); background-color | .list-group-item-info.list-group-item-action:hover,.list-group-item-info.list-group-item-action:focus (1)"
"rgb(255,242.6,205.4)",3,"--bs-table-bg | .table-warning (1); background-color | .alert-warning (1); background-color | .list-group-item-warning (1)"
"rgb(229.5,218.34,184.86)",3,"--bs-table-active-bg | .table-warning (1); border-color | .table-warning (1); background-color | .list-group-item-warning.list-group-item-action:hover,.list-group-item-warning.list-group-item-action:focus (1)"
"rgb(248,214.6,217.8)",3,"--bs-table-bg | .table-danger (1); background-color | .alert-danger (1); background-color | .list-group-item-danger (1)"
"rgb(223.2,193.14,196.02)",3,"--bs-table-active-bg | .table-danger (1); border-color | .table-danger (1); background-color | .list-group-item-danger.list-group-item-action:hover,.list-group-item-danger.list-group-item-action:focus (1)"
"#ced4da",3,"border | .form-control (1); border | .form-select (1); border | .input-group-text (1)"
"rgb(182.4,211.5,254.4)",3,"background-color | .form-range::-webkit-slider-thumb:active (1); background-color | .form-range::-moz-range-thumb:active (1); border-color | .alert-primary (1)"
"rgba(25,135,84,.25)",3,"box-shadow | .was-validated .form-control:valid:focus,.form-control.is-valid:focus (1); box-shadow | .was-validated .form-select:valid:focus,.form-select.is-valid:focus (1); box-shadow | .was-validated .form-check-input:valid:focus,.form-check-input.is-valid:focus (1)"
"rgba(220,53,69,.25)",3,"box-shadow | .was-validated .form-control:invalid:focus,.form-control.is-invalid:focus (1); box-shadow | .was-validated .form-select:invalid:focus,.form-select.is-invalid:focus (1); box-shadow | .was-validated .form-check-input:invalid:focus,.form-check-input.is-invalid:focus (1)"
"rgb(37.2,207.3,241.5)",3,"border-color | .btn-info:hover (1); border-color | .btn-check:focus+.btn-info,.btn-info:focus (1); border-color | .btn-check:checked+.btn-info,.btn-check:active+.btn-info,.btn-info:active,.btn-info.active,.show>.btn-info.dropdown-toggle (1)"
"rgb(255,199.2,31.8)",3,"border-color | .btn-warning:hover (1); border-color | .btn-check:focus+.btn-warning,.btn-warning:focus (1); border-color | .btn-check:checked+.btn-warning,.btn-check:active+.btn-warning,.btn-warning:active,.btn-warning.active,.show>.btn-warning.dropdown-toggle (1)"
"rgb(248.7,249.6,250.5)",3,"border-color | .btn-light:hover (1); border-color | .btn-check:focus+.btn-light,.btn-light:focus (1); border-color | .btn-check:checked+.btn-light,.btn-check:active+.btn-light,.btn-light:active,.btn-light.active,.show>.btn-light.dropdown-toggle (1)"
"rgba(0,0,0,.55)",3,"color | .navbar-light .navbar-nav .nav-link (1); color | .navbar-light .navbar-toggler (1); color | .navbar-light .navbar-text (1)"
"hsla(0,0%,100%,.55)",3,"color | .navbar-dark .navbar-nav .nav-link (1); color | .navbar-dark .navbar-toggler (1); color | .navbar-dark .navbar-text (1)"
"rgba(0,0,0,.15)",3,"box-shadow | .toast (1); box-shadow | .shadow (1); box-shadow | .si-withdraw-account-box (1)"
"rgba(0,0,0,.05)",3,"border-bottom | .toast-header (1); border-bottom | .is-dropdown__menu a (1); box-shadow | .is-dropdown__menu:before (1)"
"#5f3f3f",3,"color | .ui-state-error,.ui-widget-content .ui-state-error,.ui-widget-header .ui-state-error (1); color | .ui-state-error a,.ui-widget-content .ui-state-error a,.ui-widget-header .ui-state-error a (1); color | .ui-state-error-text,.ui-widget-content .ui-state-error-text,.ui-widget-header .ui-state-error-text (1)"
"#666666",3,"-webkit-box-shadow | .ui-widget-shadow (1); box-shadow | .ui-widget-shadow (1); border | .si-invest-units (1)"
"hsl(0,65.2582159624%,26.7647058824%)",3,"background-color | .cookie-settings label input[value*=False]:checked~.cookie-setting__item--checkmark (1); border | .cookie-settings label input[value*=False]:checked~.cookie-setting__item--checkmark (1); color | .cookie-settings label input[value*=False]:checked~.cookie-setting__item--label (1)"
"#a5a5a5",3,"border | .cookie-settings label .cookie-setting__item--checkmark (1); color | .si-card-notice (1); color | .wpwl-label (1)"
"hsl(0,65.2582159624%,81.7647058824%)",3,"background | .si-resale__message--warning (1); background | .si-resale__table-row.show-delete-confirm .si-resale__confirm-delete a:hover (1); background | .notification-banner span.field-validation-error (1)"
"rgb(243.9395348837,251.5604651163,248.3906976744)",3,"background | .si-resale__message--success (1); background | .si-resale__account-card.active (1); background | .notification-banner .success-message (1)"
"hsl(60,1.3452914798%,88.7254901961%)",3,"background | .si-resale__account-card[disabled]:hover,.si-resale__account-card[disabled].selected,.si-resale__account-card[disabled].active (1); border-bottom | .accordion.accordion--list (1); border-top | .accordion.accordion--list .accordion__main-content (1)"
"hsl(60,.9345794393%,65.9803921569%)",3,"-webkit-box-shadow | .si-resale .listing-toggle .toggle-button (1); -moz-box-shadow | .si-resale .listing-toggle .toggle-button (1); box-shadow | .si-resale .listing-toggle .toggle-button (1)"
"hsl(0,65.2582159624%,11.7647058824%)",3,"border-bottom | .si-resale__table-row.show-delete-confirm (1); color | .si-resale__table-row.show-delete-confirm .si-resale__confirm-delete a:hover (1); color | .si-resale__table-row.show-delete-confirm .si-resale__confirm-delete button:hover (1)"
"#202020",3,"color | .alert-danger (1); color | .alert-danger a (1); color | .alert-danger a:hover,.alert-danger a:focus,.alert-danger a:active,.alert-danger a:active:hover,.alert-danger a:active:focus (1)"
"#eff8cf",3,"background-color | .si-alert--success (1); background-color | .si-status-badge--success (1); background-color | .alert-success (1)"
"#fbf0ca",3,"background-color | .si-alert--warning (1); background-color | .si-status-badge--warning (1); background-color | .alert-warning (1)"
"#fbd7bb",3,"background-color | .si-badge__exterior--general-portfolio (1); background | .abundance-badge--general-portfolio (1); background-color | .abundance-card--general-portfolio (1)"
"rgba(54,54,53,.08)",3,"box-shadow | .abundance-card--soft (1); box-shadow | .abundance-card--soft-bordered (1); border | .abundance-card--soft-bordered (1)"
"#07828f",3,"background-color | .abundance-stepped-progress__step.complete (1); border-color | .abundance-stepped-progress__step.complete (1); background-color | .abundance-stepped-progress__step.active (1)"
"#d63384",2,"--bs-pink | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); color | code (1)"
"rgba(255,255,255,0)",2,"--bs-gradient | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); background | [data-loading=true]:after (1)"
"rgb(223.2,224.1,225)",2,"--bs-table-active-bg | .table-light (1); border-color | .table-light (1)"
"rgb(55.2,58.8,62.4)",2,"--bs-table-active-bg | .table-dark (1); border-color | .table-dark (1)"
"rgb(221.35,224.2,227.05)",2,"background-color | .form-control:hover:not(:disabled):not([readonly])::file-selector-button (1); background-color | .form-control:hover:not(:disabled):not([readonly])::-webkit-file-upload-button (1)"
"#adb5bd",2,"background-color | .form-range:disabled::-webkit-slider-thumb (1); background-color | .form-range:disabled::-moz-range-thumb (1)"
"rgb(11.05,93.5,215.05)",2,"background-color | .btn-primary:hover (1); background-color | .btn-check:focus+.btn-primary,.btn-primary:focus (1)"
"rgba(49.3,131.75,253.3,.5)",2,"box-shadow | .btn-check:focus+.btn-primary,.btn-primary:focus (1); box-shadow | eck:checked+.btn-primary:focus,.btn-check:active+.btn-primary:focus,.btn-primary:active:focus,.btn-primary.active:focus,.show>.btn-primary.dropdown-toggle:focus (1)"
"rgb(91.8,99.45,106.25)",2,"background-color | .btn-secondary:hover (1); background-color | .btn-check:focus+.btn-secondary,.btn-secondary:focus (1)"
"rgba(130.05,137.7,144.5,.5)",2,"box-shadow | .btn-check:focus+.btn-secondary,.btn-secondary:focus (1); box-shadow | d+.btn-secondary:focus,.btn-check:active+.btn-secondary:focus,.btn-secondary:active:focus,.btn-secondary.active:focus,.show>.btn-secondary.dropdown-toggle:focus (1)"
"rgb(21.25,114.75,71.4)",2,"background-color | .btn-success:hover (1); background-color | .btn-check:focus+.btn-success,.btn-success:focus (1)"
"rgba(59.5,153,109.65,.5)",2,"box-shadow | .btn-check:focus+.btn-success,.btn-success:focus (1); box-shadow | eck:checked+.btn-success:focus,.btn-check:active+.btn-success:focus,.btn-success:active:focus,.btn-success.active:focus,.show>.btn-success.dropdown-toggle:focus (1)"
"rgb(49.3,209.95,242.25)",2,"background-color | .btn-info:hover (1); background-color | .btn-check:focus+.btn-info,.btn-info:focus (1)"
"rgba(11.05,171.7,204,.5)",2,"box-shadow | .btn-check:focus+.btn-info,.btn-info:focus (1); box-shadow | .btn-check:checked+.btn-info:focus,.btn-check:active+.btn-info:focus,.btn-info:active:focus,.btn-info.active:focus,.show>.btn-info.dropdown-toggle:focus (1)"
"rgb(61.4,212.6,243)",2,"background-color | .btn-check:checked+.btn-info,.btn-check:active+.btn-info,.btn-info:active,.btn-info.active,.show>.btn-info.dropdown-toggle (1); color | .link-info:hover,.link-info:focus (1)"
"rgb(255,202.3,44.2)",2,"background-color | .btn-warning:hover (1); background-color | .btn-check:focus+.btn-warning,.btn-warning:focus (1)"
"rgba(216.75,164.05,5.95,.5)",2,"box-shadow | .btn-check:focus+.btn-warning,.btn-warning:focus (1); box-shadow | eck:checked+.btn-warning:focus,.btn-check:active+.btn-warning:focus,.btn-warning:active:focus,.btn-warning.active:focus,.show>.btn-warning.dropdown-toggle:focus (1)"
"rgb(255,205.4,56.6)",2,"background-color | .btn-check:checked+.btn-warning,.btn-check:active+.btn-warning,.btn-warning:active,.btn-warning.active,.show>.btn-warning.dropdown-toggle (1); color | .link-warning:hover,.link-warning:focus (1)"
"rgb(187,45.05,58.65)",2,"background-color | .btn-danger:hover (1); background-color | .btn-check:focus+.btn-danger,.btn-danger:focus (1)"
"rgba(225.25,83.3,96.9,.5)",2,"box-shadow | .btn-check:focus+.btn-danger,.btn-danger:focus (1); box-shadow | tn-check:checked+.btn-danger:focus,.btn-check:active+.btn-danger:focus,.btn-danger:active:focus,.btn-danger.active:focus,.show>.btn-danger.dropdown-toggle:focus (1)"
"rgb(249.05,249.9,250.75)",2,"background-color | .btn-light:hover (1); background-color | .btn-check:focus+.btn-light,.btn-light:focus (1)"
"rgba(210.8,211.65,212.5,.5)",2,"box-shadow | .btn-check:focus+.btn-light,.btn-light:focus (1); box-shadow | .btn-check:checked+.btn-light:focus,.btn-check:active+.btn-light:focus,.btn-light:active:focus,.btn-light.active:focus,.show>.btn-light.dropdown-toggle:focus (1)"
"rgb(249.4,250.2,251)",2,"background-color | .btn-check:checked+.btn-light,.btn-check:active+.btn-light,.btn-light:active,.btn-light.active,.show>.btn-light.dropdown-toggle (1); color | .link-light:hover,.link-light:focus (1)"
"rgb(28.05,31.45,34.85)",2,"background-color | .btn-dark:hover (1); background-color | .btn-check:focus+.btn-dark,.btn-dark:focus (1)"
"rgba(66.3,69.7,73.1,.5)",2,"box-shadow | .btn-check:focus+.btn-dark,.btn-dark:focus (1); box-shadow | .btn-check:checked+.btn-dark:focus,.btn-check:active+.btn-dark:focus,.btn-dark:active:focus,.btn-dark.active:focus,.show>.btn-dark.dropdown-toggle:focus (1)"
"rgba(13,110,253,.5)",2,"box-shadow | .btn-check:focus+.btn-outline-primary,.btn-outline-primary:focus (1); box-shadow | .btn-check:active+.btn-outline-primary:focus,.btn-outline-primary:active:focus,.btn-outline-primary.active:focus,.btn-outline-primary.dropdown-toggle.show:focus (1)"
"rgba(108,117,125,.5)",2,"box-shadow | .btn-check:focus+.btn-outline-secondary,.btn-outline-secondary:focus (1); box-shadow | ck:active+.btn-outline-secondary:focus,.btn-outline-secondary:active:focus,.btn-outline-secondary.active:focus,.btn-outline-secondary.dropdown-toggle.show:focus (1)"
"rgba(25,135,84,.5)",2,"box-shadow | .btn-check:focus+.btn-outline-success,.btn-outline-success:focus (1); box-shadow | .btn-check:active+.btn-outline-success:focus,.btn-outline-success:active:focus,.btn-outline-success.active:focus,.btn-outline-success.dropdown-toggle.show:focus (1)"
"rgba(13,202,240,.5)",2,"box-shadow | .btn-check:focus+.btn-outline-info,.btn-outline-info:focus (1); box-shadow | -info:focus,.btn-check:active+.btn-outline-info:focus,.btn-outline-info:active:focus,.btn-outline-info.active:focus,.btn-outline-info.dropdown-toggle.show:focus (1)"
"rgba(255,193,7,.5)",2,"box-shadow | .btn-check:focus+.btn-outline-warning,.btn-outline-warning:focus (1); box-shadow | .btn-check:active+.btn-outline-warning:focus,.btn-outline-warning:active:focus,.btn-outline-warning.active:focus,.btn-outline-warning.dropdown-toggle.show:focus (1)"
"rgba(220,53,69,.5)",2,"box-shadow | .btn-check:focus+.btn-outline-danger,.btn-outline-danger:focus (1); box-shadow | cus,.btn-check:active+.btn-outline-danger:focus,.btn-outline-danger:active:focus,.btn-outline-danger.active:focus,.btn-outline-danger.dropdown-toggle.show:focus (1)"
"rgba(248,249,250,.5)",2,"box-shadow | .btn-check:focus+.btn-outline-light,.btn-outline-light:focus (1); box-shadow | t:focus,.btn-check:active+.btn-outline-light:focus,.btn-outline-light:active:focus,.btn-outline-light.active:focus,.btn-outline-light.dropdown-toggle.show:focus (1)"
"rgba(33,37,41,.5)",2,"box-shadow | .btn-check:focus+.btn-outline-dark,.btn-outline-dark:focus (1); box-shadow | -dark:focus,.btn-check:active+.btn-outline-dark:focus,.btn-outline-dark:active:focus,.btn-outline-dark.active:focus,.btn-outline-dark.dropdown-toggle.show:focus (1)"
"rgba(0,0,0,.03)",2,"background-color | .card-header (1); background-color | .card-footer (1)"
"rgb(253.6,253.8,254)",2,"background-color | .alert-light (1); background-color | .list-group-item-light (1)"
"rgb(210.6,211.4,212.2)",2,"background-color | .alert-dark (1); background-color | .list-group-item-dark (1)"
"hsla(0,0%,100%,.85)",2,"background-color | .toast (1); background-color | .toast-header (1)"
"hsl(0,0%,94%)",2,"border-bottom | .bs-popover-bottom .popover-header::before,.bs-popover-auto[data-popper-placement^=bottom] .popover-header::before (1); background-color | .popover-header (1)"
"hsla(0,0%,100%,.5)",2,"color | .text-white-50 (1); background-color | .loading-spinner__full-container (1)"
"#c5c5c5",2,"border | .ui-widget.ui-widget-content (1); border | widget-content .ui-state-default,.ui-widget-header .ui-state-default,.ui-button,html .ui-button.ui-state-disabled:hover,html .ui-button.ui-state-disabled:active (1)"
"#454545",2,"color | widget-content .ui-state-default,.ui-widget-header .ui-state-default,.ui-button,html .ui-button.ui-state-disabled:hover,html .ui-button.ui-state-disabled:active (1); color | .ui-state-default a,.ui-state-default a:link,.ui-state-default a:visited,a.ui-button,a:link.ui-button,a:visited.ui-button,.ui-button (1)"
"#ededed",2,"background | e-hover,.ui-widget-header .ui-state-hover,.ui-state-focus,.ui-widget-content .ui-state-focus,.ui-widget-header .ui-state-focus,.ui-button:hover,.ui-button:focus (1); background | .si-badge (1)"
"#2b2b2b",2,"color | e-hover,.ui-widget-header .ui-state-hover,.ui-state-focus,.ui-widget-content .ui-state-focus,.ui-widget-header .ui-state-focus,.ui-button:hover,.ui-button:focus (1); color |  a:link,.ui-state-hover a:visited,.ui-state-focus a,.ui-state-focus a:hover,.ui-state-focus a:link,.ui-state-focus a:visited,a.ui-button:hover,a.ui-button:focus (1)"
"rgba(0,127,255,.23)",2,"background | .ui-state-active,.ui-widget-content .ui-state-active,.ui-widget-header .ui-state-active,a.ui-button:active,.ui-button:active,.ui-button.ui-state-active:hover (1); border | .ui-icon-background,.ui-state-active .ui-icon-background (1)"
"#dad55e",2,"border | .ui-state-highlight,.ui-widget-content .ui-state-highlight,.ui-widget-header .ui-state-highlight (1); border | .ui-state-checked (1)"
"#fffa90",2,"background | .ui-state-highlight,.ui-widget-content .ui-state-highlight,.ui-widget-header .ui-state-highlight (1); background | .ui-state-checked (1)"
"#777620",2,"color | .ui-state-highlight,.ui-widget-content .ui-state-highlight,.ui-widget-header .ui-state-highlight (1); color | .ui-state-highlight a,.ui-widget-content .ui-state-highlight a,.ui-widget-header .ui-state-highlight a (1)"
"#bbbbbb",2,"color | .timeline-info (1); color | .timeline-horizontal__date (1)"
"rgba(0,0,0,.11)",2,"box-shadow | .si-invest-inner (1); box-shadow | .si-panel (1)"
"#f4f0f0",2,"border-top | .si-portfolio-account-wrapper (1); border-bottom | .si-portfolio-account-wrapper (1)"
"hsl(0,65.2582159624%,31.7647058824%)",2,"border-top | .si-resale__message--warning (1); background-color | .si-resale__table-row.show-delete-confirm .si-resale__confirm-delete (1)"
"#8d8d8d",2,"color | .wpwl-control::placeholder (1); color | .wpwl-control-brand,.wpwl-control-brand>option (1)"
"#ffe5e5",2,"background-color | .alert-danger (1); border-color | .alert-danger (1)"
"rgba(176,37,37,.25)",2,"box-shadow | .si-form-control.input-validation-error:focus,.input-validation-error#opc_dropdown.form-control:focus (2)"
"rgba(85,115,24,.25)",2,"box-shadow | .si-form-control.valid:focus,.valid#opc_dropdown.form-control:focus (2)"
"rgb(74.1,74.1,73.2)",2,"border-bottom | .standard-card__title--hr (1); color | .faq-search-list a:not(.faq-search-active) (1)"
"#4d4d4d",2,"color | .search-heading (1); color | .faq-heading (1)"
"rgba(255,255,255,0.5)",2,"background | .shine-animation--primary-surface:after (1); background | [data-loading=true]:after (1)"
"#454543",2,"color | .si-btn--tertiary (1); border-color | .si-btn--tertiary (1)"
"#25ab2d",2,"background | .abundance-card--color-green (1); color | .abundance-dashboard-chart__tooltip-label (1)"
"hsla(0,0%,100%,.08)",2,"background-color | ndance-related-link:hover,.abundance-related-link:focus,.abundance-related-link:active,.abundance-related-link:active:hover,.abundance-related-link:active:focus (1); background-color | .abundance-related-link:has(:focus-visible) (1)"
"hsl(123.75,64.367816092%,64.1176470588%)",2,"border | .si-auth-breadcrumbs__checkmark.complete (1); border | .navbar .nav .si-auth-account-menu__checkmark (1)"
"#6610f2",1,"--bs-indigo | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1)"
